clim,ssp,Window_U_value,Roof_Rc_value,Floor_Rc_value,Façade_Rc_value,ifn,heat,cool,Energy_Consumption,label,co2,crt,uwin,rr,rf,rwall,inf,cost
0.0,0.0,0.0,0.0,3.0,4.0,1.0,94.23556152417478,24.30529832189072,129.47824409091632,5.0,36.48796051112543,1.54,0.0,0.0,3.0,4.0,1.0,9227.5246
0.0,0.0,0.0,0.0,3.0,4.0,2.0,81.37770969359956,27.197752673737,120.8144510705182,5.0,32.64561003511772,1.54,0.0,0.0,3.0,4.0,2.0,9527.5246
0.0,0.0,0.0,0.0,3.0,4.0,3.0,68.8273556768643,30.66489258103771,113.29144991936896,5.0,29.012976272463764,1.54,0.0,0.0,3.0,4.0,3.0,9927.5246
0.0,0.0,0.0,0.0,4.0,0.0,0.0,235.80118742214376,17.088207799865668,260.57908873194896,8.0,83.2995457509043,1.54,0.0,0.0,4.0,0.0,0.0,2177.5182
0.0,0.0,0.0,0.0,4.0,0.0,1.0,143.4254650230768,24.71843296158333,179.26719281737263,6.0,53.28813133981586,1.54,0.0,0.0,4.0,0.0,1.0,3577.5182
0.0,0.0,0.0,0.0,4.0,0.0,2.0,130.04678557112894,26.69132297491512,168.74920388475584,6.0,49.10041919859331,1.54,0.0,0.0,4.0,0.0,2.0,3877.5182
0.0,0.0,0.0,0.0,4.0,0.0,3.0,116.8201482978754,28.950727824291874,158.79870364309863,5.0,45.016833613123055,1.54,0.0,0.0,4.0,0.0,3.0,4277.5182
0.0,0.0,0.0,0.0,4.0,1.0,0.0,193.68721432779608,15.069699111458329,215.53827803941067,7.0,68.61140780884755,1.54,0.0,0.0,4.0,1.0,0.0,2914.5438
0.0,0.0,0.0,0.0,4.0,1.0,1.0,102.68095113478842,24.957079308048744,138.8687161314591,5.0,39.47866889920098,1.54,0.0,0.0,4.0,1.0,1.0,4314.5438
0.0,0.0,0.0,0.0,4.0,1.0,2.0,89.72414875699296,27.710547832813067,129.9044431145719,5.0,35.5772408307824,1.54,0.0,0.0,4.0,1.0,2.0,4614.5438
0.0,0.0,0.0,0.0,4.0,1.0,3.0,77.02905145214088,30.94631996501141,121.90121540140744,5.0,31.85305404732499,1.54,0.0,0.0,4.0,1.0,3.0,5014.5438
0.0,0.0,0.0,0.0,4.0,2.0,0.0,189.57400520989364,14.916591357614244,211.2030626784343,7.0,67.18489798980725,1.54,0.0,0.0,4.0,2.0,0.0,7882.103800000001
